Genus,Species,Subspecies,Sex,Sex_age,Vertebral formula,Presacral No.,Analyse,Running_Speed,Length_Limbs,Species_name
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 16T 3L 4S 9+Cg,26,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,3S,NA,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 16T 3L 1L/S 3S 7+Cg,26.5,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 16T 3L 3S 9Cg,26,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 15T 1T/L 3L 3S 13Cg,26,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 19T+L 3S 7+Cg,26,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 16T 3L 1L/S 3S 11Cg,26.5,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 16.5T 1T/L 2L 3S 5+Cg ,26,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 15T 3L 1l/S 3S 12Cg,26.5,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 16T 1T/L 2L 4S 12Cg,26,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,F,F,7C 15T 4L 3S 12Cg,26,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 16T 1T/L 2L 3S,26,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 17T 2L 3S 12CG,26,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a,,"7C 15T 4L 1L/S 2S probably first rib sternal parts lacking, otherwise first ribs rudimentary",26.5,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,,,7C 16T 4L 3S 13Cg (or 15T 1T/L),27,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,,,7C 15T 1T/L 3L 3S 12Cg,26,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,F,F,7C 16T 3L 3S 1S/Cg 12Cg,26,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,M,M,7C 15T 3L 1L/S 3S 12Cg,25.5,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 15T 1T/L 2L 1L/S,25.5,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 15T 3L 1l/S 4S 1S/Cg  11Cg,25.5,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 15T 4L 3S 11Cg,26,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 15T 4L 4S 11Cg,26,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,F,F,7C 16T 3L 1L/S 3S 12Cg,27.5,yes,slow,short,Tachyglossus_aculeatus
Zaglossus,bruijni,n.a.,n.a.,ad,7C 17T 4L 2+1S 16+Cg,28,yes,slow,short,Zaglossus_bruijni
Zaglossus,bruijni,n.a.,n.a.,n.a.,7C 15T 1L/S 4L 3S 7+Cg or 15T 5L 3S 4+Cg,27,yes,slow,short,Zaglossus_bruijni
Zaglossus,bruijni,n.a.,n.a.,M ad,7C 16T 1L/S 4L 3S 3+Cg,26,yes,slow,short,Zaglossus_bruijni
Zaglossus,bruijni,n.a.,n.a.,n.a.,7C 16T 4L 3S ,27,yes,slow,short,Zaglossus_bruijni
Zaglossus,bruijni,goodfellow,F ,F ,7C 16T 4L 1L/S 3S 1S/Cg 10Cg,27.5,yes,slow,short,Zaglossus_bruijni
Zaglossus,bruijni,goodfellow,M,M ad,7C 16T 1T/L 3L 1L/S 3S 10Cg,27.5,yes,slow,short,Zaglossus_bruijni
Zaglossus,bartoni,n.a.,n.a.,juv,7C 16T 4L 3S 1S/Cg 7+Cg,27,yes,slow,short,Zaglossus_bartoni
Zaglossus,bartoni,n.a.,n.a.,n.a.,7C 17T ,NA,yes,slow,short,Zaglossus_bartoni
Zaglossus,bruijni,n.a.,F,F ad (?M),7C 16T 4L 1L/S 3S 8Cg,27.5,yes,slow,short,Zaglossus_bruijni
Zaglossus,bruijni,n.a.,F,F ad,7C 17T 4L 3S 10Cg,28,yes,slow,short,Zaglossus_bruijni
Zaglossus,bruijni,gularis,n.a.,ad,7C 15T 1T/L 4L 3S 11Cg,27,yes,slow,short,Zaglossus_bruijni
Zaglossus,bruijni,n.a.,n.a.,n.a.,7C 16T 4L 1L/S 8+Cg,27.5,yes,slow,short,Zaglossus_bruijni
Orycteropus,afer,n.a.,F,F,7C 13T 1T/L 6L 1L/S 5S 28Cg ,27.5,yes,slow,intermediate,Orycteropus_afer
Orycteropus,afer,faradjius,F,F,7C 13T 6L 1L/S 5S 28Cg ,26.5,yes,slow,intermediate,Orycteropus_afer
Orycteropus,afer,n.a.,M,M,7C 13T 7L 6S 26Cg,27,yes,slow,intermediate,Orycteropus_afer
Orycteropus,afer,n.a.,M,M,7C 13T 7L 1L/S 6S 25+Cg,27.5,yes,slow,intermediate,Orycteropus_afer
Orycteropus,afer,n.a.,F,F,7C 12T 1T/L 7L 1L/S 5S 1S/Cg 21+Cg,27.5,yes,slow,intermediate,Orycteropus_afer
Orycteropus,afer,n.a.,n.a.,n.a.,7C 13T 7L 1L/S 6S 21+Cg,27.5,yes,slow,intermediate,Orycteropus_afer
Orycteropus,afer,n.a.,n.a.,J n.a.,7C 13T 7L 6S 25Cg,27,yes,slow,intermediate,Orycteropus_afer
Orycteropus,afer,n.a.,M,M,7C 13T 1T/L 7L 6S 28Cg,28,yes,slow,intermediate,Orycteropus_afer
Orycteropus,afer,n.a.,M,M,7C 13T 7L 1L/S 6S 26Cg,27.5,yes,slow,intermediate,Orycteropus_afer
Orycteropus,afer,n.a.,M,M,7C 13T 1T/L 7L 6S 26Cg,28,yes,slow,intermediate,Orycteropus_afer
Orycteropus,afer,n.a.,n.a.,n.a.,7C 13T 7L 6S 27Cg,27,yes,slow,intermediate,Orycteropus_afer
Orycteropus,afer,n.a.,F,F,7C 13T 1T/L 6L 1L/S 6S 17+Cg,27.5,yes,slow,intermediate,Orycteropus_afer
Orycteropus,afer,n.a.,n.a.,n.a.,7C 12T 1T/L 7L 1L/S 6S 6+Cg,27.5,yes,slow,intermediate,Orycteropus_afer
Orycteropus,afer,n.a.,n.a.,n.a.,7C 13T 7L 1L/S 6S 22+Cg,27.5,yes,slow,intermediate,Orycteropus_afer
Orycteropus,afer,n.a.,M,M,7C 13T 8L 6S 25Cg,28,yes,slow,intermediate,Orycteropus_afer
Orycteropus,afer,n.a.,M,M,7C 13T 8L 6S 14+Cg,28,yes,slow,intermediate,Orycteropus_afer
Orycteropus,afer,n.a.,n.a.,n.a.,7C 13T 7L 1L/S 6S 24Cg,27.5,yes,slow,intermediate,Orycteropus_afer
Orycteropus,afer,capensis,F,F,7C 13T 7L 1L/S 5S 26Cg,27.5,yes,slow,intermediate,Orycteropus_afer
Orycteropus,afer,n.a.,M,M,7C 13T 8L 5S 1S/Cg 27Cg,28,yes,slow,intermediate,Orycteropus_afer
Orycteropus,afer,n.a.,M,M,7C 14T 7L 1L/S 6S 24Cg,28.5,yes,slow,intermediate,Orycteropus_afer
Orycteropus,afer,aethiopicus,F,F,7C 14T 6L 1L/S 7S 28Cg,27.5,yes,slow,intermediate,Orycteropus_afer
Elephas,maximus,n.a.,F,F,7C 19T 4L 2S 1S/Cg 26Cg,30,yes,slow,intermediate,Elephas_maximus
Elephas,maximus,n.a.,n.a,n.a,7 (3+ )C 19T 4L 2S 1S/Cg10+Cg,30,yes,slow,intermediate,Elephas_maximus
Elephas,maximus,n.a.,F,F ad,7C 19T 4L 4S ,30,yes,slow,intermediate,Elephas_maximus
Elephas,maximus,n.a.,M,M,7C 20T 2L 3S 1S/Cg 10+Cg,29,yes,slow,intermediate,Elephas_maximus
Elephas,maximus,n.a.,M,M,7C 19T 2L 1L/S 2S 1S/Cg 8+Cg,28.5,yes,slow,intermediate,Elephas_maximus
Elephas,maximus,n.a.,F,F,7C (6C 1C/T) 19T 3L 3S 1S/Cg 8+Cg ,29,yes,slow,intermediate,Elephas_maximus
Elephas,maximus,n.a.,M,M juv,7C 19T 3L 1L/S 3S 25Cg,29.5,yes,slow,intermediate,Elephas_maximus
Elephas,maximus,n.a.,n.a.,n.a.,7C 19T 2L 1L/S 4S 25Cg,28.5,yes,slow,intermediate,Elephas_maximus
Elephas,maximus,n.a.,n.a.,n.a.,7C 19T 3L 1L/S 3S 1S/Cg 21Cg,29.5,yes,slow,intermediate,Elephas_maximus
Elephas,maximus,maximus,n.a.,n.a.,7C 18T 1T/L 2L 1L/S 3S 27 Cg,28.5,yes,slow,intermediate,Elephas_maximus
Elephas,maximus,n.a.,n.a.,juv. ,7C 19T 3L 4S 29Cg,29,yes,slow,intermediate,Elephas_maximus
Elephas,maximus,n.a.,M,M,7C 21T 2L 4S 10+Cg,30,yes,slow,intermediate,Elephas_maximus
Elephas,maximus,n.a.,F,F,7C 20T 3L 4S 33Cg,30,yes,slow,intermediate,Elephas_maximus
Elephas,maximus,n.a.,F,,7C 20T 3L 4S 3+Cg,30,yes,slow,intermediate,Elephas_maximus
Elephas,maximus,n.a.,n.a.,,7C 20T 1T/L 3L 3S 25Cg ,31,yes,slow,intermediate,Elephas_maximus
Elephas,maximus,n.a.,n.a.,,7C 19T 1T/L 2L 1L/S 3S 6+Cg ,29.5,yes,slow,intermediate,Elephas_maximus
Elephas,maximus,n.a.,F,,7C 19T 4L 3S 24Cg,30,yes,slow,intermediate,Elephas_maximus
Elephas,maximus,n.a.,n.a.,,7C 19T 3L 4S 16+Cg,29,yes,slow,intermediate,Elephas_maximus
Elephas,maximus,n.a.,n.a.,,7C 20T 4L 3S 29Cg,31,yes,slow,intermediate,Elephas_maximus
Elephas,maximus,n.a.,M,,7C 20T 3L 1L/S 3S 10+Cg,30.5,yes,slow,intermediate,Elephas_maximus
Elephas,maximus,n.a.,n.a.,ad,7C 19T 3L 2+1S 1S/Cg 27Cg,29,yes,slow,intermediate,Elephas_maximus
Loxodonta,africana,n.a.,M,M,20T 1+L,NA,yes,slow,intermediate,Loxodonta_africana
Loxodonta,africana,n.a.,M,M ad ,7C 20T 3L 5S 5+Cg,30,yes,slow,intermediate,Loxodonta_africana
Loxodonta,africana,n.a.,n.a.,juv,7C 21T 3L 4S 16Cg,31,yes,slow,intermediate,Loxodonta_africana
Loxodonta,africana,n.a.,M,M,"7C 21T 3L 4S 24Cg (or 20T 1T/L, not good to see)",31,yes,slow,intermediate,Loxodonta_africana
Loxodonta,africana,n.a.,M,,7C 21T 2L 1L/S 3S 30Cg,30.5,yes,slow,intermediate,Loxodonta_africana
Loxodonta,africana,n.a.,M,,7C 20T 3L 4S 29Cg,30,yes,slow,intermediate,Loxodonta_africana
Loxodonta,africana,n.a.,n.a.,,7C 20T 1T/L 1L 1L/S 3+1S 24Cg,29.5,yes,slow,intermediate,Loxodonta_africana
Loxodonta,africana,n.a.,F,F ad,7C 20T 3L 2+3S 17+Cg,30,yes,slow,intermediate,Loxodonta_africana
Acinonyx,jubatus,n.a.,M,M,7C 13T 7L 3S 10+Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,F,F,7C 13T 7L 3S 9+Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,M,M,7C 13T 7L 3S 27Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,M,M,7C 13T 7L 3S 23Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,F,F,7C 13T 7L 2S 24Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,M,M,7C 13T 7L 3S 20+Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,M,M,7C 13T 7L 2S 24Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,M,M,7C 13T 7L 3S 23Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,n.a.,NA,7C 13T 7L 3S 23Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,F,F,7C 13T 7L 3S 24Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,n.a.,ad NA,7C 13T 7L 3S 24Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,M,M,7C 13T 7L 3S 24Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,n.a.,NA,3+L 3S,NA,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,n.a.,NA,7C 13T 7L 3S 18+Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,F,F,7C 13T 7L 18+Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,n.a.,NA,7C 13T 7L 3S 21+Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,n.a.,NA,7C 13T 7L 3S 16+Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,n.a.,NA,7C 13T 7L 3S 21+Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,M,M,7C 13T 7L 3S 22+Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,F,F,7C 13T 7L 3S 25Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,F,F,7C 13T 7L 3S 19Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,F,F,1+L 3S,NA,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,F,F,7C 13T 7L 3S 9+Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,M,M ad,7C 13T 7L 3S 25+Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,M,M ad,7C 13T 7L 3S 29Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,M,M ad,3S,NA,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,M,M ,7C 13T 7L 3S 16+Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,M,M ad,7C 13T 7L 3S 20+Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,M, M,7C 13R 7L 3S 10+Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,F,F,7C 13T 7L 3S 22Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,F,F juv,7C 13T 7L 3S 19Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,n.a.,juv,7C 13T 7L 3S 17+Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,F,F,7C 13R 7L 3S 15+Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,n.a.,NA,7C 13T 7L 3S 19Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,F,F,7C 13T 7L 3S 12+Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,F,F,7C 13T 7L 3S 9+Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,F,F,7C 13T 7L 3S 6+Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,F,F,7C 13T 7L 3S 10+Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,F,F,7C 13T 7L 3S 10+Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,F,F,7C 13T 7L 3S 6+Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
,,,,,,,,,,
Acinonyx,jubatus,n.a.,n.a.,n.a.,7C 13T 7L 3S 23Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,n.a.,n.a.,7C 13T 7L 2+1S 18+Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,n.a.,n.a.,7C 13T 7L 2+1S 22Cg Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,n.a.,n.a.,7C 13T 7L 2+1S 12+Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Acinonyx,jubatus,n.a.,n.a.,n.a.,7C 13T 7L 2+1S 8+Cg,27,yes,fast,long_intermediate_limbs,Acinonyx_jubatus
Caracal,caracal,n.a.,F,F,7C 13T 7L 3S 15+Cg,27,yes,fast,long_intermediate_limbs,Caracal_caracal
Caracal,caracal,n.a.,n.a.,NA,7C 13T 7L 3S 18Cg,27,yes,fast,long_intermediate_limbs,Caracal_caracal
Caracal,caracal,n.a.,F,F juv.,7C 13T 7L 2S 19Cg,27,yes,fast,long_intermediate_limbs,Caracal_caracal
Caracal,caracal,n.a.,n.a.,NA,7C 13T 7L 3S 17Cg,27,yes,fast,long_intermediate_limbs,Caracal_caracal
Caracal,caracal,n.a.,n.a.,NA,7C 13T 7L 3S 20Cg,27,yes,fast,long_intermediate_limbs,Caracal_caracal
Caracal,caracal,n.a.,n.a.,NA,7C 13T 7L 3S,27,yes,fast,long_intermediate_limbs,Caracal_caracal
Caracal,caracal,melanurus,M,M ad,7C 13T 7L 3S 21Cg,27,yes,fast,long_intermediate_limbs,Caracal_caracal
Caracal,caracal,n.a.,n.a.,NA,7C 13T 7L 3S 11+Cg,27,yes,fast,long_intermediate_limbs,Caracal_caracal
Caracal,caracal,n.a.,n.a.,NA,7C 13T 7L 3S 30Cg,27,yes,fast,long_intermediate_limbs,Caracal_caracal
Caracal,caracal,n.a.,M,M,7C 14T 6L 2S 24Cg,27,yes,fast,long_intermediate_limbs,Caracal_caracal
Caracal,caracal,n.a.,n.a.,NA,7C 14T 6L 3S 24Cg,27,yes,fast,long_intermediate_limbs,Caracal_caracal
Caracal,caracal,n.a.,n.a.,NA,7C 13T 7L 3S 17+Cg,27,yes,fast,long_intermediate_limbs,Caracal_caracal
Caracal,caracal,n.a.,n.a.,NA Ad,7C 13T 7L 3S 19Cg,27,yes,fast,long_intermediate_limbs,Caracal_caracal
Caracal,caracal,n.a.,M,M 10 kg,7C 13T 7L 3S 18+Cg,27,yes,fast,long_intermediate_limbs,Caracal_caracal
Caracal,caracal,n.a.,F,F,7C 13T 7L 2S 8+Cg,27,yes,fast,long_intermediate_limbs,Caracal_caracal
Caracal,caracal,n.a.,M,M,7C 13T 7L 3S 14+Cg,27,yes,fast,long_intermediate_limbs,Caracal_caracal
Caracal,caracal,n.a.,n.a.,ad,7C 13T 7L 3S 16Cg,27,yes,fast,long_intermediate_limbs,Caracal_caracal
Felis,silvestris,lybica,M,M,7C 13T 7L 3S 18+Cg,27,yes,fast,long_intermediate_limbs,Felis_silvestris
Felis,silvestris,lybica,n.a.,NA,7C 13T 7L 3S 20Cg,27,yes,fast,long_intermediate_limbs,Felis_silvestris
Felis,silvestris,lybica,M,M,7C 13T 7L 3S 20Cg,27,yes,fast,long_intermediate_limbs,Felis_silvestris
Felis,silvestris,lybica,F,F,7C 13T 7L 3S 10+Cg,27,yes,fast,long_intermediate_limbs,Felis_silvestris
Felis,silvestris,lybica,F,F,7C 13T 7L 2S 13+Cg,27,yes,fast,long_intermediate_limbs,Felis_silvestris
Felis,silvestris,lybica,M,M,7C 13T 7L 3S 22Cg,27,yes,fast,long_intermediate_limbs,Felis_silvestris
Felis,silvestris,lybica,n.a.,NA,7C 13T 7L 3S 19Cg (18+),27,yes,fast,long_intermediate_limbs,Felis_silvestris
Felis,silvestris,lybica,n.a.,NA,7C 13T 7L 3S 19Cg ,27,yes,fast,long_intermediate_limbs,Felis_silvestris
