Genus,Species,Subspecies,Sex,Sex_age,Vertebral formula,Presacral No.,Analyse,Running_Speed,Length_Limbs,Species_name
Canis,lupus,n.a.,n.a.,,7C 13T 7L 3S 17Cg,27,yes,fast,long ,Canis_lupus
Canis,lupus,n.a.,M,M,7C 13T 7L 3S 8+Cg,27,yes,fast,long ,Canis_lupus
Canis,lupus,n.a.,F,F,7C 13T 7L 3S 8+Cg,27,yes,fast,long ,Canis_lupus
Canis,lupus,n.a.,F,F,7C 13T 7L 3S 3+Cg,27,yes,fast,long ,Canis_lupus
Canis,lupus,n.a.,F,F,7C 13T 7L 3S 9+Cg,27,yes,fast,long ,Canis_lupus
Canis,lupus,n.a.,M,M,7C 13T 7L 3S ,27,yes,fast,long ,Canis_lupus
Canis,lupus,n.a.,M,M,7C 13T 7L2S 1S/Cg 3+Cg,27,yes,fast,long ,Canis_lupus
Canis,lupus,pallipes,M,M,7C 13T 7L3S 1+Cg,27,yes,fast,long ,Canis_lupus
Canis,lupus,n.a.,n.a.,n.a.,7C 13T 7L3S19Cg,27,yes,fast,long ,Canis_lupus
Canis,latrans,n.a.,F,F,7C 13T 7L 3S 20Cg,27,yes,fast,long ,Canis_latrans
Canis,latrans,n.a.,M,M,7C 13T 7L 3S 18Cg,27,yes,fast,long ,Canis_latrans
Canis,latrans,n.a.,M,M,7C 13T 7L 3S 19Cg,27,yes,fast,long ,Canis_latrans
Canis,latrans,n.a.,M,M,7C 13T 7L 3S 18Cg,27,yes,fast,long ,Canis_latrans
Canis,adustus,n.a.,n.a.,n.a.,7C 13T 7L 3S 12+Cg,27,yes,fast,long ,Canis_adustus
Canis,adustus,n.a.,F,F,7C 13T 7L 3S 8+Cg,27,yes,fast,long ,Canis_adustus
Canis,adustus,n.a.,n.a.,n.a.,7C 13T 7L 3S 8+Cg,27,yes,fast,long ,Canis_adustus
Canis,adustus,n.a.,F,F,7C 13T 7L 3S 13+Cg,27,yes,fast,long ,Canis_adustus
Canis,adustus,n.a.,F,F,7C 13T 7L 3S 20Cg,27,yes,fast,long ,Canis_adustus
Canis,adustus,n.a.,F,F,1:L 3S,NA,yes,fast,long ,Canis_adustus
Canis,adustus,n.a.,n.a.,juv,7C 13T 7L 3S 8+Cg,27,yes,fast,long ,Canis_adustus
Canis,adustus,n.a.,n.a.,n.a.,7C 13T 7L 3S 18Cg,27,yes,fast,long ,Canis_adustus
Canis,adustus,n.a.,M,M ad,7C 13T 7L 3S 21Cg,27,yes,fast,long ,Canis_adustus
Canis,adustus,n.a.,M,M juv,7C 13T 1T/L 6L 3S 21Cg,27,yes,fast,long ,Canis_adustus
Canis,adustus,n.a.,M,M,7C 13T 7L 3S ,27,yes,fast,long ,Canis_adustus
Canis,adustus,n.a.,M,M,7C 13T 7L 3S 21Cg,27,yes,fast,long ,Canis_adustus
Canis,adustus,n.a.,n.a.,n.a.,7C 13T 7L 3S 21Cg,27,yes,fast,long ,Canis_adustus
Canis,adustus,n.a.,n.a.,n.a.,7C 12+T 5+L 3S 7+Cg,NA,yes,fast,long ,Canis_adustus
Canis,adustus,n.a.,F,F,7C 13T 7L 3S 21Cg,27,yes,fast,long ,Canis_adustus
Canis,adustus,n.a.,M,M,7C 13T 7L 3S 15+Cg,27,yes,fast,long ,Canis_adustus
Canis,adustus,n.a.,F,F,7C 13T 7L 3S 13+Cg,27,yes,fast,long ,Canis_adustus
Canis,adustus,n.a.,F,F,7C 13T 7L 3S 21Cg,27,yes,fast,long ,Canis_adustus
Canis,adustus,n.a.,M,M,7C 13T 7L 3S 14+Cg,27,yes,fast,long ,Canis_adustus
Canis,adustus,n.a.,F,F,7C 13T 7L 3S 21Cg,27,yes,fast,long ,Canis_adustus
Canis,adustus,n.a.,n.a.,,6+C 11+T 7L 3S 5+Cg,NA,yes,fast,long ,Canis_adustus
Canis,adustus,n.a.,n.a.,n.a.,7C 13T 7L 3S 3+Cg,27,yes,fast,long ,Canis_adustus
Canis,mesomelas,n.a.,n.a.,n.a.,7C 13T 7L 3S 14+Cg,27,yes,fast,long ,Canis_mesomelas
Canis,mesomelas,n.a.,n.a.,n.a.,3+L 3S 5+Cg,NA,yes,fast,long ,Canis_mesomelas
Canis,mesomelas,n.a.,M,M,7C 13T 7L 3S 19Cg,27,yes,fast,long ,Canis_mesomelas
Canis,mesomelas,n.a.,n.a.,n.a.,7C 13T 7L 3S 20Cg,27,yes,fast,long ,Canis_mesomelas
Canis,mesomelas,n.a.,M,M,7C 13T 7L 3S 18Cg,27,yes,fast,long ,Canis_mesomelas
Canis,mesomelas,n.a.,n.a.,ad,7C 13T 7L 3S 20Cg,27,yes,fast,long ,Canis_mesomelas
Canis,mesomelas,n.a.,F,F,7C 13T 7L 3S 20Cg,27,yes,fast,long ,Canis_mesomelas
Canis,mesomelas,n.a.,F,F,7C 13T 7L 2S 1S/Cg 21Cg,27,yes,fast,long ,Canis_mesomelas
Canis,mesomelas,n.a.,M,M,7C 13T 7L 3S 12+Cg,27,yes,fast,long ,Canis_mesomelas
Chrysocyon ,brachyurus,n.a.,M,M,7C 13T 1T/L 6L 3S 21Cg,27,yes,fast,long ,Chrysocyon__brachyurus
Chrysocyon ,brachyurus,n.a.,F,F,7C 13T 7L 3S 10+Cg,27,yes,fast,long ,Chrysocyon__brachyurus
Chrysocyon ,brachyurus,n.a.,M,M ad,7C 13T 7L 3S 17Cg,27,yes,fast,long ,Chrysocyon__brachyurus
Chrysocyon ,brachyurus,n.a.,n.a.,n.a.,7C 13T 7L 3S 13+Cg,27,yes,fast,long ,Chrysocyon__brachyurus
Chrysocyon ,brachyurus,n.a.,n.a.,ad,7C 13T 7L 3S 16Cg,27,yes,fast,long ,Chrysocyon__brachyurus
Chrysocyon ,brachyurus,n.a.,n.a.,ad,7C 13T 7L 3S 18Cg,27,yes,fast,long ,Chrysocyon__brachyurus
Meles,meles,n.a.,F,F,7C 14T 1T/L 4L 1S/L 3S  18Cg,26.5,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,M,M,7C 14T 1T/L 5L 3S  16Cg,27,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,F,F,7C 15T 5L 3S  18Cg,27,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,M,M,7C 15T 5L 3S  10+Cg,27,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,F,F,7C 15T 5L 3S,27,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,M,M,7C 15T 5L 3S  18Cg,27,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,M,M,2+L 3S 2+Cg,NA,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,M,M,7C 15T 5L 1L/S 2S  17Cg,27.5,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,M,M,7C 15T 5L 2S  1S/Cg 5+Cg,27,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,F,F,7C 14T 5L 3S 15+Cg,26,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,M,M,7C 15T 5L 3S 17Cg,27,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,F,F,7C 15T 5L 3S 18Cg,27,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,M,M,7C 15T 5L 3S 18Cg,27,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,F,F,7C 15T 5L 3S 17Cg,27,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,M,M,7C 15T 5L 3S 16Cg,27,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,M,M,7C 15T 5L 3S 17Cg,27,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,F,F,7C 15T 5L 1S/L 2S 15+Cg,27.5,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,F,F?,7C 15T 4L 1L/S 3S 17Cg ,26.5,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,M,M,7C 15T 5L 3S 17Cg,27,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,F,F,7C 15T 5L 3S 15+Cg,27,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,n.a.,NA,7C 14T 4L 1L/S 3S 14+Cg,25.5,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,F,F,7C 15T 5L 3S,27,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,n.a.,NA,2+L 3S 2+Cg,NA,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,n.a.,NA,7C 15T 5L 3S 17+Cg,27,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,M,M,7C 15T 5L 2S 13+Cg,27,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,F,F,7C 15T 5L 3S 15+Cg,27,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,n.a.,NA,1+C 15T 4L 1L/S 2S 1S/Cg 3+Cg,26.5,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,F,F,7C 15T 5L 3S 2S 1+Cg,27,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,F,F,7C 15T 5L 3S ,27,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,F,F,7C 15T 4L 3S 12Cg,26,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,F,F ad,7C 15T 5L 3S 30Cg,27,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,M,M ad,7C 15T 5L 3S,27,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,M,M ad,7C 15T 5L 3S 11+Cg,27,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,M,M ad,7C 14T 1T/L 5L 3S 15+Cg,27,yes,slow,short_limbs,Meles_meles
Meles,meles,n.a.,F,F ad,7C 15T 5L 3S 10+Cg,27,yes,slow,short_limbs,Meles_meles
Mustela,nivalis,n.a.,F,F,7C 14T 6L 3S 13Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,M,M,7C 14T 6L 3S 10+Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,M,M,7C 14T 6L 3S 8+Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,n.a.,NA,7C 14T 6L 2S 1S/Cg 5+Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,M,M,7C 14T 6L 3S 14Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,M,M,7C 14T 6L 3S 13Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,M,M,7C 14T 6L 3S 16Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,M,M,7C 14T 6L 3S 16Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,F,F,7C 14T 6L 3S 14Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,M,M,7C 14T 6L 2S 15Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,M,M,7C 14T 6L 3S 14Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,F,F,7C 14T 6L 3S 14Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,F,F,7C 14T 6L 2S 1S/Cg 9+Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,M,M,7C 14T 6L 2S,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,n.a.,juv,7C 14T 6L 3S 10+Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,F,F,7C 14T 6L 3S 9+Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,M,M,7C 14T 6L 3S 13Cg ,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,n.a.,juv,7C 14T 6L 3S 12Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,n.a.,NA,7C 14T 6L 2S 15Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,M,M,7C 14T 6L 1L/S 3S 12Cg,27.5,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,M,M,7C 14T 6L 3S 9+Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,F,F,7C 14T 6L 3S 14Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,F,F,7C 14T 6L 3S 13Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,M,M,7C 15T 5L 1L/S 3S ,27.5,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,F,F,7C 14T 6L 3S 12Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,F,F,7C 14T 6L 3S 14Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,n.a.,NA,7C 14T 6L 2S 10+Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,M,M,7C 14T 6L 3S 13Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,F,F,7C 14T 6L 2 or 3S 13+Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,F,F,7C 14T 6L 3S 14Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,nivalis,n.a.,M,M,7C 14T 6L 3S 15Cg*),27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_nivalis
Mustela,erminea,n.a.,M,M,7C 14T 6L 3S 17Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,n.a.,M,M,7C 14T 6L 3S 17Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,n.a.,F,F,7C 14T 6L 3S 17Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,n.a.,M,M,7C 14T 6L 3S 14+Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,n.a.,M,M,7C 14T 6L 1L/S 3S 12+Cg,26.5,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,n.a.,F,F,7C 14T 6L 3S 17Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,n.a.,M,M,7C 14T 6L 3S 5+Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,n.a.,F,F,7C 14T 6L 4S 18Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,n.a.,n.a.,NA,7C 14T 6L 2+S ,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,n.a.,M,M ad,7C 14T 6L 3S 13+Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,n.a.,M,M ad,7C 14T 6L 3S 17Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,n.a.,M,M,7C 14T 6L 3S 17Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,n.a.,M,M ,7C 15T 6L 3S 3+Cg,28,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,n.a.,M,M,7C 14T 6L 3S 18Cg ,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,n.a.,M,M,7C 14T 6L 3S 18Cg ,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,n.a.,F,F,7C 14T 6L 3S 16Cg ,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,n.a.,M,M,7C 14T 6L 3S 18Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,n.a.,F,F,7C 14T 6L 2S 18Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,n.a.,F,F,7C 14T 6L 3S 17Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,n.a.,M,M,7C 14T 6L 2S 18Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,n.a.,M,M ad,7C 14T 6L 3S 15+Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,n.a.,M,M,7C 14T 6L 3S 17Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,n.a.,M,M,7C 14T 6L 3S 18Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,n.a.,M,M,7C 14T 6L 3S 17Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,n.a.,M,M,7C 14T 6L 3S18 Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,n.a.,M,M,7C 14T 6L 3S 6+Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,erminea,F,F,7C 14T 6L 4S 13+Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,erminea,F,F,7C 14T 6L 3S 17Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,erminea,n.a.,juv.,7C 14T 6L 3S 7+Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,erminea,M,M,7C 14T 1T/L 5L 3S 17Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,erminea,F,F,7C 14T 6L 3S 18Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,erminea,F,F,7C 14T 1T/L 5L 3S 18Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Mustela,erminea,erminea,F,F,7C 14T 6L 3S 17Cg,27,yes,fast_halfbound,short_intermediate_ limbs,Mustela_erminea
Martes,foina,foina,n.a.,NA,7C 14T 6L 3S 17Cg,27,yes,fast_halfbound,short_limbs,Martes_foina
Martes,foina,n.a.,M,M,7C 14T 1T/L 5L 3S 18Cg,27,yes,fast_halfbound,short_limbs,Martes_foina
Martes,foina,n.a.,F,F,7C 14T 6L 3S 6+Cg,27,yes,fast_halfbound,short_limbs,Martes_foina
Martes,foina,n.a.,F,F,7C 14T 6L 3S 8+Cg,27,yes,fast_halfbound,short_limbs,Martes_foina
Martes,foina,n.a.,F,F,7C 14T 6L 3S 10+Cg,27,yes,fast_halfbound,short_limbs,Martes_foina
Martes,foina,foina,M,M,7C 14T 6L 3S 17Cg,27,yes,fast_halfbound,short_limbs,Martes_foina
Martes,foina,n.a.,n.a.,NA,7C 14T 6L 3S 18+Cg,27,yes,fast_halfbound,short_limbs,Martes_foina
Martes,foina,n.a.,n.a.,NA,7C 14T 6L 3S 20Cg,27,yes,fast_halfbound,short_limbs,Martes_foina
Martes,foina,n.a.,M,M,7C 14T 6L 4S 19Cg,27,yes,fast_halfbound,short_limbs,Martes_foina
Martes,foina,n.a.,n.a.,NA,7C 14T 7L 3S 15Cg,28,yes,fast_halfbound,short_limbs,Martes_foina
Martes,foina,n.a.,F,F,7C 14T 6L 3S 19Cg ,27,yes,fast_halfbound,short_limbs,Martes_foina
Martes,foina,n.a.,n.a.,NA,7C 14T 6L 3S 20Cg,27,yes,fast_halfbound,short_limbs,Martes_foina
Martes,foina,n.a.,F,F juv,7C 14T 6L 3S 25Cg,27,yes,fast_halfbound,short_limbs,Martes_foina
Martes,foina,n.a.,M,M,7C 14T 6L 3S 20Cg,27,yes,fast_halfbound,short_limbs,Martes_foina
Martes,foina,n.a.,F,F,7C 14T 6L 3S 17Cg,27,yes,fast_halfbound,short_limbs,Martes_foina
Martes,foina,n.a.,F,F juv,7C 14T 6L 3S 24Cg,27,yes,fast_halfbound,short_limbs,Martes_foina
Martes,foina,n.a.,F,F,7C 14T 6L 3S 10+Cg,27,yes,fast_halfbound,short_limbs,Martes_foina
Martes,foina,n.a.,M,M,7C 14T 6L 3S ,27,yes,fast_halfbound,short_limbs,Martes_foina
Martes,foina,n.a.,F,F,7C 14T 6L 3S 4+Cg,27,yes,fast_halfbound,short_limbs,Martes_foina
Martes,foina,n.a.,F,F ad,7C 14T 6L 3S 25Cg,27,yes,fast_halfbound,short_limbs,Martes_foina
